152,0.02
0,0.435
0.0633,0.4304
0.1253,0.4166
0.1846,0.3939
0.24,0.3628
0.2903,0.324
0.3344,0.2783
0.3713,0.2266
0.4004,0.1701
0.4209,0.11
0.4324,0.0476
0.4347,-0.0159
0.4278,-0.079
0.4117,-0.1405
0.3869,-0.1989
0.3538,-0.2531
0.3132,-0.3019
0.2659,-0.3443
0.2129,-0.3794
0.1554,-0.4063
0.0946,-0.4246
0.0318,-0.4339
-0.0318,-0.4339
-0.0946,-0.4246
-0.1554,-0.4063
-0.2129,-0.3794
-0.2659,-0.3443
-0.3132,-0.3019
-0.3538,-0.2531
-0.3869,-0.1989
-0.4117,-0.1405
-0.4278,-0.079
-0.4347,-0.0159
-0.4324,0.0476
-0.4209,0.11
-0.4004,0.1701
-0.3713,0.2266
-0.3344,0.2783
-0.2903,0.324
-0.24,0.3628
-0.1846,0.3939
-0.1253,0.4166
-0.0633,0.4304
0,0.375
0.0634,0.3696
0.1249,0.3536
0.1829,0.3274
0.2356,0.2918
0.2815,0.2478
0.3193,0.1966
0.348,0.1398
0.3666,0.079
0.3747,0.0159
0.372,-0.0476
0.3586,-0.1098
0.3349,-0.1688
0.3015,-0.223
0.2595,-0.2708
0.21,-0.3107
0.1545,-0.3417
0.0945,-0.3629
0.0318,-0.3737
-0.0318,-0.3737
-0.0945,-0.3629
-0.1545,-0.3417
-0.21,-0.3107
-0.2595,-0.2708
-0.3015,-0.223
-0.3349,-0.1688
-0.3586,-0.1098
-0.372,-0.0476
-0.3747,0.0159
-0.3666,0.079
-0.348,0.1398
-0.3193,0.1966
-0.2815,0.2478
-0.2356,0.2918
-0.1829,0.3274
-0.1249,0.3536
-0.0634,0.3696
0,0.315
0.0655,0.3081
0.1281,0.2878
0.1852,0.2549
0.2341,0.2108
0.2728,0.1575
0.2996,0.0973
0.3133,0.0329
0.3133,-0.0329
0.2996,-0.0973
0.2728,-0.1575
0.2341,-0.2108
0.1852,-0.2549
0.1281,-0.2878
0.0655,-0.3081
0,-0.315
-0.0655,-0.3081
-0.1281,-0.2878
-0.1852,-0.2549
-0.2341,-0.2108
-0.2728,-0.1575
-0.2996,-0.0973
-0.3133,-0.0329
-0.3133,0.0329
-0.2996,0.0973
-0.2728,0.1575
-0.2341,0.2108
-0.1852,0.2549
-0.1281,0.2878
-0.0655,0.3081
0,0.255
0.066,0.2463
0.1275,0.2209
0.1803,0.1803
0.2209,0.1275
0.2463,0.066
0.255,0
0.2463,-0.066
0.2209,-0.1275
0.1803,-0.1803
0.1275,-0.2209
0.066,-0.2463
0,-0.255
-0.066,-0.2463
-0.1275,-0.2209
-0.1803,-0.1803
-0.2209,-0.1275
-0.2463,-0.066
-0.255,0
-0.2463,0.066
-0.2209,0.1275
-0.1803,0.1803
-0.1275,0.2209
-0.066,0.2463
0,0.195
0.0667,0.1833
0.1254,0.1494
0.1689,0.0975
0.1921,0.0339
0.1921,-0.0339
0.1689,-0.0975
0.1254,-0.1494
0.0667,-0.1833
0,-0.195
-0.0667,-0.1833
-0.1254,-0.1494
-0.1689,-0.0975
-0.1921,-0.0339
-0.1921,0.0339
-0.1689,0.0975
-0.1254,0.1494
-0.0667,0.1833
