1.000,2015-11-19 13:07:00,2015-11-19 15:07:00
1.000,2015-11-20 06:33:00,2015-11-20 14:33:00
1.000,2015-11-23 05:54:00,2015-11-23 14:54:00
1.000,2015-11-24 06:28:00,2015-11-24 15:28:00
1.000,2015-11-25 06:02:00,2015-11-25 12:02:00
1.000,2015-11-30 06:13:00,2015-11-30 15:13:00
1.000,2015-12-01 09:45:00,2015-12-01 14:45:00
1.000,2015-12-03 11:27:00,2015-12-03 15:27:00
1.000,2015-12-04 06:00:00,2015-12-04 14:00:00
1.000,2015-12-09 07:58:00,2015-12-09 14:58:00
1.000,2015-12-10 05:57:00,2015-12-10 14:57:00
1.000,2015-12-11 07:46:00,2015-12-11 11:46:00
